t,x
0,0
1,-49
2,-96
3,-141
4,-184
5,-225
6,-264
7,-301
8,-336
9,-369
10,-400
11,-429
12,-456
13,-481
14,-504
15,-525
16,-544
17,-561
18,-576
19,-589
20,-600
21,-609
22,-616
23,-621
24,-624
25,-625
26,-624
27,-621
28,-616
29,-609
30,-600
31,-589
32,-576
33,-561
34,-544
35,-525
36,-504
37,-481
38,-456
39,-429
40,-400
41,-369
42,-336
43,-301
44,-264
45,-225
46,-184
47,-141
48,-96
49,-49
50,0
51,51
52,104
53,159
54,216
55,275
56,336
57,399
58,464
59,531
60,600
61,671
62,744
63,819
64,896
65,975
66,1056
67,1139
68,1224
69,1311
70,1400
71,1491
72,1584
73,1679
74,1776
75,1875
76,1976
77,2079
78,2184
79,2291
80,2400
81,2511
82,2624
83,2739
84,2856
85,2975
86,3096
87,3219
88,3344
89,3471
90,3600
91,3731
92,3864
93,3999
94,4136
95,4275
96,4416
97,4559
98,4704
99,4851
100,5000
